Notes,Year,Make,Model,Trim,Engine
,2001,Acura,EL,Base Sedan 4-Door,1.7L 1668CC l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,CX Hatchback 3-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,DX Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,DX Hatchback 3-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,DX Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,EX Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,EX Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,EX-R Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,EX-R Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,GX Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 CNG SOHC Naturally Aspirated
,1998,Honda,Civic,HX Coupe 2-Door,1.6L 1590CC l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,LX Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1998,Honda,Civic,Si Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,CX Hatchback 3-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,DX Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,DX Hatchback 3-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,DX Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,EX Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,EX Sedan 4-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
,1997,Honda,Civic,EX-R Coupe 2-Door,1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated
